,Name,Description,Designator,Part Number,Price,Qty
,47 pF,CAP CER 56PF 250V C0G/NP0 0603,C51,Murata GQM1875C2E560JB12D,0.35099,1
,22µF,CAP CER 22UF 25V X5R 1206,"C52, C53, C59, C60",,,4
,2200pF,CAP CER 2200PF 50V C0G/NP0 0603,C55,,,1
,56 pF,CAP CER 56PF 250V C0G/NP0 0603,C58,Murata GQM1875C2E560JB12D,0.35099,1
,10 µF,CAP CER 10UF 25V X7R 1206,"C61, C62","Yageo Group C1206X106J3RACAUTO, ",3.29932,2
,0.1 µF,CAP CER 0.1UF 50V X7R 0603,"C63, C73, C75, C80, C83","Holystone C0603X104K050T, ",0.38609,5
,1 µF,CAP CER 1UF 50V X7R 1206,"C64, C74, C84, C87, C91, C95, C98","Yageo Group C1206C105K5RACAUTO, ",1.93045,7
,3300pF,CAP CER 3300PF 50V X7R 0603,"C65, C68",,,2
,1500 pF,CAP CER 1500PF 50V X7R 0603,"C76, C81","TDK CGA3E2X7R1H152K080AA, ",0.1872,2
,0.1 µF,CAP CER 0.1UF 16V X7R 0603,"C88, C89, C90, C92, C93, C94, C96, C97, C99, C100, C101, C102","Yageo Group CS0603KRX7R7BB104, ",0.89854,12
,"PESD1CAN,215","Trans Voltage Suppressor Diode, 200W, 24V V(RWM), Bidirectional, 2 Element, Silicon, TO-236AB",D1,"Nexperia PESD1CAN,215",345.3,1
,SK510BH-LTP,5A 100V SCHOTTKY SMB,"D2, D3","MCC SK510BH-LTP, ",1.12,2
,Green,LED GREEN 0603 SMD,"D4, D9, D13, D14","Vishay VLMTG1300-GS08, ",1.45077,4
,Red,LED RED 0603 SMD,D5,Vishay VLMS1300-GS08,0.23399,1
,Blue,LED BLUE 0603 SMD,D6,Vishay VLMB1310-GS08,0.35099,1
,Yellow,LED YELLOW DIFFUSED 0603 SMD,D7,,,1
,White,LED WHITE SMD,D8,,,1
,Green,LED GREEN CLEAR 0603 SMD,"D10, D15, D16","Everlight QTLP601C4TR, ",0.63179,3
,RS1B-13-F,DIODE GEN PURP 100V 1A SMA,"D11, D12, D17","Diodes Inc. RS1B-13-F, ",1.26357,3
,0308.500UR,Fuse 0.5A SMD 30V,F1,,,1
,120 Ohms @ 100 MHz,FERRITE BEAD 120 OHM 0805 1LN,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9","Murata BLM21BB121SN1D, ",1.08807,9
,3221-14-0300-00,"IDC BOX HEADER, 0.050"" (1.27MM), 14 POS LOW PROFILE, SMT, NYLON 6T, G/F",J1,,,1
,206832-0401,MICRO-FIT Plus Header Assembly Dual Row 4 Position Straight Tin,"J2, J7, J8, J9, J10, J13, J14, J15, J26","Molex 206832-0401, ",11.23174,9
,7499011222A,"7499011222A Through Hole Lan Ethernet Transformer, 13.95 x 16 x 21.6mm, -40 +85 °C",J3,Wurth Elektronik 7499011222A,8.5174,1
,1939115-1,,J4,,,1
,22-28-4020,"Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Receptacle","J5, J6","Molex 22-28-4020, ",0.144,2
